domain,estimand,detection_profile,action_delay_fraction,residual_contact_multiplier,system_family,effect,source_artifact,observation_profile,method,rewiring_fraction,epidemic_model,disease_regime,mapping,contrast,endpoint
delivery,history_plus_tracing_over_history,early_detection,0.0,0.25,linked_wytham_songbird_family,0.0022401433691756,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.5,linked_wytham_songbird_family,0.0010993934381031,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.0,linked_wytham_songbird_family,0.0033414856499533,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.25,linked_wytham_songbird_family,0.0029569892473118,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.5,linked_wytham_songbird_family,0.0031810035842293,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.0,oxford_wildbird_network,0.0029411764705882,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.25,oxford_wildbird_network,0.0029411764705882,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.5,oxford_wildbird_network,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.0,oxford_wildbird_network,0.0014705882352941,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.25,oxford_wildbird_network,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.5,oxford_wildbird_network,0.0,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.0,oxford_wildbird_network,-0.0073529411764705,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.25,oxford_wildbird_network,-0.0029411764705882,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.5,oxford_wildbird_network,-0.0014705882352941,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
